Method,BaselineArm,ChangedArm,BaselineCodeBytes,ChangedCodeBytes,BaselineNormalizedSha256,ChangedNormalizedSha256,Equal,Normalization
"Program:FillReferences(System.Object[],System.Object):System.Object (FullOpts)",P1.2-main CardTable,P1.3 bounded CardTable,99,99,751FCE9133704DEC292AA226D333A0297F0E3E94B4C229B26F086B61B771AA3A,751FCE9133704DEC292AA226D333A0297F0E3E94B4C229B26F086B61B771AA3A,true,CRLF to LF; trim line ends; replace 12-16 digit hexadecimal relocations
"Program:FillMixedReferences(MixedReferences[],MixedReferences):System.Object (FullOpts)",P1.2-main CardTable,P1.3 bounded CardTable,70,70,694EC34498BF7A1C99D8D1F8AC5F2AF1B0EF74F75E1BB06ACCA7E43AF8DC87C1,694EC34498BF7A1C99D8D1F8AC5F2AF1B0EF74F75E1BB06ACCA7E43AF8DC87C1,true,CRLF to LF; trim line ends; replace 12-16 digit hexadecimal relocations
