Method,Job,AnalyzeLaunchVariance,EvaluateOverhead,MaxAbsoluteError,MaxRelativeError,MinInvokeCount,MinIterationTime,OutlierMode,Affinity,EnvironmentVariables,Jit,LargeAddressAware,Platform,PowerPlanMode,Runtime,AllowVeryLargeObjects,Concurrent,CpuGroups,Force,HeapAffinitizeMask,HeapCount,NoAffinitize,RetainVm,Server,Arguments,BuildConfiguration,Clock,EngineFactory,Toolchain,IsMutator,ConsumeTasksSynchronously,InvocationCount,IterationCount,IterationTime,JitTieringMode,LaunchCount,MaxIterationCount,MaxWarmupIterationCount,MemoryRandomization,MinIterationCount,MinWarmupIterationCount,RunStrategy,UnrollFactor,WarmupCount,Mean,Error,StdDev,Ratio
Contended,Job-WNVGSN,False,Default,Default,Default,Default,Default,Default,1111111111111111,Empty,RyuJit,Default,X64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 11.0,False,True,False,True,Default,Default,False,False,False,Default,Default,Default,Default,\testhost_p1.6_baseline\net11.0-windows-Release-x64\shared\Microsoft.NETCore.App\11.0.0\corerun.exe,Default,False,Default,12,Default,Default,1,Default,Default,Default,Default,Default,Default,16,4,109.1 μs,0.38 μs,0.30 μs,1.00
Contended,Job-RATPPW,False,Default,Default,Default,Default,Default,Default,1111111111111111,Empty,RyuJit,Default,X64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 11.0,False,True,False,True,Default,Default,False,False,False,Default,Default,Default,Default,\testhost_p1.6_changed\net11.0-windows-Release-x64\shared\Microsoft.NETCore.App\11.0.0\corerun.exe,Default,False,Default,12,Default,Default,1,Default,Default,Default,Default,Default,Default,16,4,109.0 μs,0.63 μs,0.49 μs,1.00
